Name,Symbol,RIC,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity
JST.CMLBK.FOR FRT. OF VIET NAM,VT:VCB,VCB.HM,6/30/2009,2009,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Banks,Joint Stock Commercial Bank for Foreign Trade of Viet Nam,Active
120 MECHANICAL,VT:CK8,CK8.HNO,4/7/2023,2023,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Unclassified,120 Mechanical,Active
1369 CONSTRUCTION,VT:C69,C69.HN,4/21/2017,2017,Equities,Hanoi,Vietnam,Vietnamese Dong,Construction and Materials,1369 Construction,Active
22 JOINT STOCK COMPANY,VT:C22,C22.HNO,5/24/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Food Producers,22 Joint Stock Company,Active
26 JSC,VT:X26,X26.HNO,7/9/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Aerospace and Defense,26 JSC,Active
28.1 COMPANY,VT:AG1,AG1.HNO,1/10/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Personal Goods,28.1 Company,Active
29 INCON.&.ENGR. JSC.,VT:E29,E29.HNO,11/5/2019,2019,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,29 Incon and Engineering Joint Stock Company,Active
32 JOINT C,VT:A32,A32.HNO,11/29/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Personal Goods,32 Joint C,Active
36,VT:G36,G36.HNO,12/26/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Household Goods and Home Construction,36,Active
382 DONG ANH,VT:DAC,DAC.HNO,4/2/2007,2007,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,382 Dong ANH,Active
386 THANH AN CONSTRUCTION AND INVEST,VT:TA3,TA3.HNO,6/13/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,386 Thanh An Construction and Invest,Active
397 JOINT STOCK COMPANY,VT:BCB,BCB.HNO,8/1/2023,2023,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Unclassified,397 Joint Stock Company,Active
40 INVESTMENT AND CONSTRUCTION,VT:L40,L40.HN,1/27/2021,2021,Equities,Hanoi,Vietnam,Vietnamese Dong,Construction and Materials,40 Investment and Construction,Active
532 ONE MEB.LLC.,VT:TS3,TS3.HNO,10/26/2020,2020,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,532 One MEB LLC,Active
577 INVESTMENT,VT:NBB,NBB.HM,2/18/2009,2009,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Real Estate Investment and Services,577 Investment,Active
715,VT:BMN,BMN.HNO,5/23/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,715,Active
911 GROUP,VT:NO1,NO1.HM,11/28/2022,2022,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,-,911 Group,Active
A CUONG MINERAL,VT:ACM,ACM.HNO,7/23/2015,2015,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Mining,A Cuong Mineral,Active
A DONG PAINT JSC,VT:ADP,ADP.HM,8/23/2011,2011,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,-,A Dong Paint JSC,Active
A VUONG HYDROPOWER,VT:AVC,AVC.HNO,1/8/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Electricity,A Vuong Hydropower,Active
AAV GROUP JSC,VT:AAV,AAV.HN,6/25/2018,2018,Equities,Hanoi,Vietnam,Vietnamese Dong,Real Estate Investment and Services,AAV Group JSC,Active
ACC BINH DUONG,VT:ACC,ACC.HM,12/22/2009,2009,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Construction and Materials,ACC Binh Duong,Active
ADDITIVES AND PE,VT:APP,APP.HNO,10/5/2010,2010,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,-,Additives and PE,Active
AGIMEXPHARM PHARMACEUTICAL,VT:AGP,AGP.HNO,10/20/2015,2015,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Pharmaceuticals and Biotechnology,Agimexpharm Pharmaceutical,Active
AGRIBANK SECURITIES,VT:AGR,AGR.HM,12/10/2009,2009,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Financial Services (Sector),Agribank Securities,Active
AGRICULTURE BANK,VT:ABI,ABI.HNO,8/24/2009,2009,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Nonlife Insurance,Agriculture Bank,Active
AGRICULTURE PRIN,VT:INN,INN.HN,1/22/2010,2010,Equities,Hanoi,Vietnam,Vietnamese Dong,Support Services,Agriculture Prin,Active
AIRPORTS OF VIETNAM,VT:ACV,ACV.HNO,11/21/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Transportation,Airports of Vietnam,Active
ALPHA SEVEN GROUP,VT:DL1,DL1.HN,3/10/2010,2010,Equities,Hanoi,Vietnam,Vietnamese Dong,Construction and Materials,Alpha Seven Group,Active
ALPHANAM MECH.&ELEC.,VT:AME,AME.HN,6/2/2010,2010,Equities,Hanoi,Vietnam,Vietnamese Dong,Industrial Engineering,Alphanam Mechanical and Electric,Active
ALTA,VT:ALT,ALT.HN,3/2/2009,2009,Equities,Hanoi,Vietnam,Vietnamese Dong,General Industrials,Alta,Active
ALV INFRASTRUCTURE DEVELOPMENT INVESTMENT,VT:ALV,ALV.HNO,9/17/2010,2010,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,General Industrials,ALV Infrastructure Development Investment,Active
AMECC MECHANICAL CONSTRUCTION,VT:AMS,AMS.HNO,2/6/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Amecc Mechanical Construction,Active
AMERICAN VIETNAM,VT:AMV,AMV.HN,12/30/2009,2009,Equities,Hanoi,Vietnam,Vietnamese Dong,Pharmaceuticals and Biotechnology,American Vietnam,Active
AN BINH,VT:ABW,ABW.HNO,5/30/2023,2023,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Unclassified,An Binh,Active
AN BINH COMMERCIAL,VT:ABB,ABB.HNO,12/28/2020,2020,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Banks,An Binh Commercial,Active
AN CUONG WOOD - WORKING,VT:ACG,ACG.HM,8/4/2021,2021,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Construction and Materials,An Cuong Wood - Working,Active
AN DUONG THAO DIEN REAL ESTATE TRADE,VT:HAR,HAR.HM,1/17/2013,2013,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Real Estate Investment and Services,An Duong Thao Dien Real Estate Trade,Active
AN GIA RLST. INVESMENT &.DECO.,VT:AGG,AGG.HM,1/9/2020,2020,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Real Estate Investment and Services,An Gia Real Estate Invesment and Development Corporation,Active
AN GIANG CENTRIF,VT:ACE,ACE.HNO,11/11/2009,2009,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,An Giang Centrif,Active
AN GIANG FRUIT- VEGETABLES & FOODSTUFF,VT:ANT,ANT.HNO,12/22/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Food Producers,An Giang Fruit- Vegetables and Foodstuff,Active
AN GIANG IMPORT-EXPORT,VT:AGM,AGM.HM,12/14/2012,2012,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Food Producers,An Giang Import-Export,Active
AN GIANG MECHANICAL,VT:CKA,CKA.HNO,10/17/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Engineering,An Giang Mechanical,Active
AN GIANG POWER AND WATER SUPPLY,VT:DNA,DNA.HNO,10/19/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,"Gas, Water and Multiutilities",An Giang Power and Water Supply,Active
AN PHA PETROLEUM GROUP,VT:ASP,ASP.HM,2/15/2008,2008,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Oil and Gas Producers,An PHA Petroleum Group,Active
AN PHAT HOLDINGS,VT:APH,APH.HM,7/28/2020,2020,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,-,An Phat Holdings,Active
AN PHAT PLAST.&GRN.ENVM.,VT:AAA,AAA.HM,7/15/2010,2010,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,General Industrials,An Phat Plastic and Green Environment,Active
AN PHU IRRADIATION,VT:APC,APC.HM,2/5/2010,2010,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,-,An Phu Irradiation,Active
AN THINH JOINT,VT:ATB,ATB.HNO,8/25/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,An Thinh Joint,Active
AN TIEN INDUSTRIES,VT:HII,HII.HM,6/22/2017,2017,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Chemicals,An Tien Industries,Active
AN TRUONG AN,VT:ATG,ATG.HNO,8/22/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Metals and Mining,An Truong An,Active
ANGIANG AGRIC.&. FDS. IMT.- EXPT.,VT:AFX,AFX.HNO,12/2/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Food Producers,Angiang Agriculture and Foods Import- Export,Active
ANGIANG FISH.IMT.& EXPT.,VT:AGF,AGF.HNO,6/8/2007,2007,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Food Producers,Angiang Fisheries Import and Export,Active
ANGIANG PORT JOINT- STOCK,VT:CAG,CAG.HN,12/18/2017,2017,Equities,Hanoi,Vietnam,Vietnamese Dong,Industrial Transportation,Angiang Port Joint- Stock,Active
ANPHAT SECURITIES,VT:APG,APG.HM,4/5/2010,2010,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Financial Services (Sector),Anphat Securities,Active
ANVIFISH,VT:AVF,AVF.HNO,11/23/2010,2010,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Food Producers,Anvifish,Active
APAX HOLDINGS,VT:IBC,IBC.HM,10/25/2016,2016,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Financial Services (Sector),Apax Holdings,Active
ARCHITECTS & CONSTRUCTION SERVICE,VT:ACS,ACS.HNO,7/13/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Architects and Construction Service,Active
ARMY MDEQT.&.PHARM.,VT:AMP,AMP.HNO,1/12/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Health Care Equipment and Services,Army Medical Equipment and Pharmaceutical,Active
ART DESIGN & COM,VT:ADC,ADC.HN,12/24/2010,2010,Equities,Hanoi,Vietnam,Vietnamese Dong,Financial Services (Sector),Art Design and Com,Active
ASA CONSUMER PRODUCT,VT:ASA,ASA.HNO,3/12/2012,2012,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Financial Services (Sector),ASA Consumer Product,Active
ASG CORPORATION,VT:ASG,ASG.HM,9/24/2020,2020,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Industrial Transportation,ASG Corporation,Active
ASIA COMMERCIAL,VT:ACB,ACB.HM,4/2/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Banks,Asia Commercial,Active
ASIA MINERAL,VT:AMC,AMC.HN,2/15/2012,2012,Equities,Hanoi,Vietnam,Vietnamese Dong,Mining,Asia Mineral,Active
ASIA PACIFIC INV,VT:API,API.HN,10/26/2009,2009,Equities,Hanoi,Vietnam,Vietnamese Dong,Real Estate Investment and Services,Asia Pacific INV,Active
ASIA PACIFIC SEC,VT:APS,APS.HN,8/24/2009,2009,Equities,Hanoi,Vietnam,Vietnamese Dong,Financial Services (Sector),Asia Pacific SEC,Active
ATESCO INDUSTRIAL CARTERING,VT:ATS,ATS.HN,3/29/2016,2016,Equities,Hanoi,Vietnam,Vietnamese Dong,Travel and Leisure,Atesco Industrial Cartering,Active
AVIATION PRINTIN,VT:IHK,IHK.HNO,3/5/2010,2010,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,-,Aviation Printin,Active
BA RIA - VUNG TAU WATER SUPPLY,VT:BWS,BWS.HNO,11/30/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,"Gas, Water and Multiutilities",BA Ria - Vung Tau Water Supply,Active
BA RIA THERMAL POWER,VT:BTP,BTP.HM,11/25/2009,2009,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Electricity,BA Ria Thermal Power,Active
BA RIA URBAN SERVICE,VT:BRS,BRS.HNO,6/28/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Support Services,BA Ria Urban Service,Active
BA RIA-VUNG TAU HSE.DEV.,VT:HDC,HDC.HM,10/8/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Real Estate Investment and Services,BA Ria-Vung Tau House Development,Active
BA RIA-VUNG TAU TOURIST,VT:VTG,VTG.HNO,12/28/2015,2015,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Travel and Leisure,BA Ria-Vung Tau Tourist,Active
BAC A COMMERCIAL,VT:BAB,BAB.HN,12/28/2017,2017,Equities,Hanoi,Vietnam,Vietnamese Dong,Banks,BAC A Commercial,Active
BAC GIANG CLEAN WATER,VT:BGW,BGW.HNO,2/2/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,"Gas, Water and Multiutilities",BAC Giang Clean Water,Active
BAC HA HYDROPOWER,VT:BHA,BHA.HNO,8/7/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Alternative Energy,BAC Ha Hydropower,Active
BAC KAN MINERAL,VT:BKC,BKC.HN,8/18/2009,2009,Equities,Hanoi,Vietnam,Vietnamese Dong,Mining,BAC Kan Mineral,Active
BAC LIEU FISHERIES,VT:BLF,BLF.HN,6/2/2008,2008,Equities,Hanoi,Vietnam,Vietnamese Dong,Food Producers,BAC Lieu Fisheries,Active
BAC MINH DEVELOPMENT INVESTMENT,VT:SBM,SBM.HNO,9/21/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Alternative Energy,BAC Minh Development Investment,Active
BAC NINH CLEAN WATER JSC,VT:BNW,BNW.HNO,8/5/2020,2020,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,"Gas, Water and Multiutilities",BAC Ninh Clean Water JSC,Active
BAC VIET GROUP,VT:BVG,BVG.HNO,8/9/2010,2010,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Metals and Mining,BAC Viet Group,Active
BACH TUYET COTTON,VT:BBT,BBT.HNO,3/2/2009,2009,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Personal Goods,Bach Tuyet Cotton,Active
BACLIEU WATER SUPPLY JSC,VT:BLW,BLW.HNO,5/8/2019,2019,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,"Gas, Water and Multiutilities",Baclieu Water Supply JSC,Active
BAF VIET NAM AGRICULTURE,VT:BAF,BAF.HM,12/3/2021,2021,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Food Producers,BAF Viet Nam Agriculture,Active
BAMBOO CAPITAL,VT:BCG,BCG.HM,7/16/2015,2015,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Construction and Materials,Bamboo Capital,Active
BANK FOR INVDL.OF VTM.,VT:BID,BID.HM,1/24/2014,2014,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Banks,Bank for Investment and Development of Vietnam,Active
BAO LOC CITY URBAN PROJECTS JSC,VT:DTB,DTB.HNO,11/27/2019,2019,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Support Services,Bao Loc City Urban Projects JSC,Active
BAO LONG INSURANCE,VT:BLI,BLI.HNO,12/28/2015,2015,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Nonlife Insurance,Bao Long Insurance,Active
BAO NGOC INVESTMENT,VT:BNA,BNA.HN,10/12/2020,2020,Equities,Hanoi,Vietnam,Vietnamese Dong,Food Producers,Bao Ngoc Investment,Active
BAO THU INDV.&.INV.,VT:BII,BII.HNO,9/22/2014,2014,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Bao Thu Industrial Development and Investment,Active
BAO VIET SECURIT,VT:BVS,BVS.HN,7/2/2007,2007,Equities,Hanoi,Vietnam,Vietnamese Dong,Financial Services (Sector),Bao Viet Securit,Active
BAOLOC SUPP.SEW.& CON.,VT:BWA,BWA.HNO,6/22/2010,2010,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,"Gas, Water and Multiutilities",Baoloc Supply Sewerage and Construction,Active
BAOMINH INSURANCE,VT:BMI,BMI.HM,4/2/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Nonlife Insurance,Baominh Insurance,Active
BAOMINH SECURITIES COMPANY,VT:BMS,BMS.HNO,8/8/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Financial Services (Sector),Baominh Securities Company,Active
BAOVIET HOLDINGS,VT:BVH,BVH.HM,6/25/2009,2009,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Nonlife Insurance,Baoviet Holdings,Active
BARIA RUBBER,VT:BRR,BRR.HNO,6/16/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Automobiles and Parts,Baria Rubber,Active
BCH,VT:BCA,BCA.HNO,9/16/2021,2021,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Unclassified,Beach,Active
BDC VIETNAM INVE,VT:MCO,MCO.HN,12/29/2006,2006,Equities,Hanoi,Vietnam,Vietnamese Dong,Construction and Materials,BDC Vietnam Inve,Active
BECAMEX INFR.DEVELOPMENT,VT:IJC,IJC.HM,4/19/2010,2010,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Real Estate Investment and Services,Becamex Infrastructure Development,Active
BECAMEX MINERAL,VT:BMJ,BMJ.HNO,12/22/2009,2009,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Becamex Mineral,Active
BECAMEX URBAN DEV.,VT:UDJ,UDJ.HNO,12/25/2009,2009,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Becamex Urban Development,Active
BEER - ALCOHOL - BEVERAGE,VT:BAL,BAL.HNO,1/17/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,-,Beer - Alcohol - Beverage,Active
BEN THANH RUBBER,VT:BRC,BRC.HM,12/13/2011,2011,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Industrial Engineering,Ben Thanh Rubber,Active
BEN THANH SERVICE,VT:BSC,BSC.HN,1/5/2011,2011,Equities,Hanoi,Vietnam,Vietnamese Dong,Travel and Leisure,Ben Thanh Service,Active
BEN THANH TOURIST SERVICE,VT:BTV,BTV.HNO,3/3/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Travel and Leisure,Ben Thanh Tourist Service,Active
BEN THANH TRADING & SERVICE,VT:BTT,BTT.HM,4/14/2010,2010,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,General Retailers,Ben Thanh Trading and Service,Active
BEN THANH WATER SUPPLY,VT:BTW,BTW.HN,3/8/2010,2010,Equities,Hanoi,Vietnam,Vietnamese Dong,"Gas, Water and Multiutilities",Ben Thanh Water Supply,Active
BEN TRE AQUAPRODUCT IMPORT AND EXPORT,VT:ABT,ABT.HM,4/2/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Food Producers,Ben Tre Aquaproduct Import and Export,Active
BEN TRE CONSTRUCTION MATERIAL,VT:VXB,VXB.HNO,6/22/2010,2010,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Ben Tre Construction Material,Active
BEN TRE PHARMACE,VT:DBT,DBT.HM,10/30/2009,2009,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Pharmaceuticals and Biotechnology,Ben Tre Pharmace,Active
BEN TRE WATER SUPPLY AND SEWERAGE,VT:NBT,NBT.HNO,10/14/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,"Gas, Water and Multiutilities",Ben Tre Water Supply and Sewerage,Active
BENTRE TRANSPORT,VT:TBT,TBT.HNO,3/9/2011,2011,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Bentre Transport,Active
BENTRE URBAN PROJECT,VT:BTU,BTU.HNO,8/23/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Bentre Urban Project,Active
BETON 6,VT:BT6,BT6.HNO,3/6/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Beton 6,Active
BGI GROUP,VT:VC7,VC7.HN,12/31/2007,2007,Equities,Hanoi,Vietnam,Vietnamese Dong,Construction and Materials,BGI Group,Active
BIBICA,VT:BBC,BBC.HM,1/1/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Food Producers,Bibica,Active
BICH CHI FOOD COMPANY,VT:BCF,BCF.HN,3/18/2020,2020,Equities,Hanoi,Vietnam,Vietnamese Dong,Food Producers,Bich Chi Food Company,Active
BIDV INSURANCE,VT:BIC,BIC.HM,9/6/2011,2011,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Nonlife Insurance,Bidv Insurance,Active
BIDV SECURITIES,VT:BSI,BSI.HM,7/19/2011,2011,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Financial Services (Sector),Bidv Securities,Active
BIEN HO TEA LIMITED COMPANY,VT:BHG,BHG.HNO,10/21/2019,2019,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Beverages,Bien Ho Tea Limited Company,Active
BIEN HOA BUILDING MATERIAL,VT:VLB,VLB.HNO,9/26/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Bien Hoa Building Material,Active
BIEN HOA CONCRET,VT:BHC,BHC.HNO,5/15/2009,2009,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,-,Bien Hoa Concret,Active
BIEN HOA PACKAGING,VT:SVI,SVI.HM,12/22/2008,2008,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,General Industrials,Bien Hoa Packaging,Active
BIG INVEST GROUP,VT:BIG,BIG.HNO,1/10/2022,2022,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Unclassified,Big Invest Group,Active
BIM SON CEMENT,VT:BCC,BCC.HN,12/29/2006,2006,Equities,Hanoi,Vietnam,Vietnamese Dong,-,BIM Son Cement,Active
BINH DIEN FERTILIZERS,VT:BFC,BFC.HM,10/7/2015,2015,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,-,Binh Dien Fertilizers,Active
BINH DINH BITCO INVESTMENT JSC,VT:BTN,BTN.HNO,1/5/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Binh Dinh Bitco Investment JSC,Active
BINH DINH BOOK AND EQU.,VT:BDB,BDB.HN,1/29/2010,2010,Equities,Hanoi,Vietnam,Vietnamese Dong,General Retailers,Binh Dinh Book and Equipment,Active
BINH DINH FOOD,VT:BLT,BLT.HNO,7/10/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Food Producers,Binh Dinh Food,Active
BINH DINH MINERALS,VT:BMC,BMC.HM,5/22/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Mining,Binh Dinh Minerals,Active
BINH DINH PHARMACEUTICAL,VT:DBD,DBD.HM,1/16/2017,2017,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Pharmaceuticals and Biotechnology,Binh Dinh Pharmaceutical,Active
BINH DUONG BLMS.&. CON.,VT:MVC,MVC.HNO,3/22/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Binh Duong Building Materials and Construction,Active
BINH DUONG CON.& CENG.,VT:BCE,BCE.HM,6/28/2010,2010,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Construction and Materials,Binh Duong Construction and Civil Engineering,Active
BINH DUONG GEN. PRINT.,VT:IBD,IBD.HNO,5/31/2019,2019,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Support Services,Binh Duong General Printing,Active
BINH DUONG MRL.& CON.,VT:KSB,KSB.HM,1/20/2010,2010,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Construction and Materials,Binh Duong Mineral and Construction,Active
BINH DUONG PP PACK MK.,VT:HBD,HBD.HNO,12/29/2006,2006,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,General Industrials,Binh Duong PP Pack Making,Active
BINH DUONG PRODUCING &. TRDCP.,VT:PRT,PRT.HNO,5/7/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Automobiles and Parts,Binh Duong Producing and TRDCP,Active
BINH DUONG TRADE AND DEVELOPMENT,VT:TDC,TDC.HM,5/4/2010,2010,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Real Estate Investment and Services,Binh Duong Trade and Development,Active
BINH DUONG WATER ENVIRONMENT,VT:BWE,BWE.HM,7/20/2017,2017,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,"Gas, Water and Multiutilities",Binh Duong Water Environment,Active
BINH LONG RUBBER INDUSTRIAL PARK,VT:MH3,MH3.HNO,3/9/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Real Estate Investment and Services,Binh Long Rubber Industrial Park,Active
BINH MINH GARMENT JSC,VT:BMG,BMG.HNO,1/8/2019,2019,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Personal Goods,Binh Minh Garment JSC,Active
BINH MINH PLASTICS,VT:BMP,BMP.HM,4/24/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,-,Binh Minh Plastics,Active
BINH SON REFINING AND PETROCHEMICAL,VT:BSR,BSR.HNO,3/1/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Oil and Gas Producers,Binh Son Refining and Petrochemical,Active
BINH TAY STL.WIRE NTG.,VT:VDT,VDT.HNO,3/2/2011,2011,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Metals and Mining,Binh Tay Steel Wire NTG,Active
BINH THUAN AGRICULTURE SERVICES,VT:ABS,ABS.HM,3/18/2020,2020,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,-,Binh Thuan Agriculture Services,Active
BINH THUAN BOOKS,VT:BST,BST.HN,12/31/2008,2008,Equities,Hanoi,Vietnam,Vietnamese Dong,General Retailers,Binh Thuan Books,Active
BINH THUAN ENV.URB. SER.,VT:BMD,BMD.HNO,7/26/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Support Services,Binh Thuan Environmental Urban Service,Active
BINHDINH WT.SUPP.& SEW.,VT:BDW,BDW.HNO,3/8/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,"Gas, Water and Multiutilities",Binhdinh Water Supply and Sewerage,Active
BINHTHANH IMX.PDTT.,VT:GIL,GIL.HM,4/2/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Personal Goods,Binhthanh Import Export Production And Trade,Active
BKG VIETNAM,VT:BKG,BKG.HM,12/31/2020,2020,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,General Retailers,Banking Vietnam,Active
BOOK AND EDUCATI,VT:STC,STC.HN,4/2/2007,2007,Equities,Hanoi,Vietnam,Vietnamese Dong,-,Book and Educati,Active
BOS SECURITIES,VT:ART,ART.HNO,8/2/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Financial Services (Sector),BOS Securities,Active
BRIDGE NO.12,VT:C12,C12.HNO,3/24/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Bridge Number 12,Active
