Name,Symbol,RIC,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity
QUANG NGAI WT.SUPP. SEW. &.CON.,VT:QNW,QNW.HNO,9/29/2022,2022,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Unclassified,Quang Ngai Water Supply Sewerage and Construction,Active
QUANG NINH BOOK,VT:QST,QST.HN,2/16/2009,2009,Equities,Hanoi,Vietnam,Vietnamese Dong,General Retailers,Quang Ninh Book,Active
QUANG NINH CLEAN WATER,VT:NQN,NQN.HNO,6/21/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Food Producers,Quang Ninh Clean Water,Active
QUANG NINH CONST,VT:QNC,QNC.HNO,1/17/2008,2008,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Quang Ninh Const,Active
QUANG NINH MINERAL WATER,VT:QHW,QHW.HNO,3/10/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Beverages,Quang Ninh Mineral Water,Active
QUANG NINH PINE,VT:TQN,TQN.HNO,3/31/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Chemicals,Quang Ninh Pine,Active
QUANG NINH PORT,VT:CQN,CQN.HNO,8/19/2020,2020,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Transportation,Quang Ninh Port,Active
QUANG NINH THERMAL POWER,VT:QTP,QTP.HNO,3/16/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Alternative Energy,Quang Ninh Thermal Power,Active
QUANG TRI CLEAN WATER,VT:NQT,NQT.HNO,8/17/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,"Gas, Water and Multiutilities",Quang Tri Clean Water,Active
QUANG TRI GENERAL TRADING,VT:SEP,SEP.HNO,6/26/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,General Industrials,Quang Tri General Trading,Active
QUE PHONG HYDRO,VT:QPH,QPH.HNO,7/30/2014,2014,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Electricity,Que Phong Hydro,Active
QUOC CUONG GIA LAI,VT:QCG,QCG.HM,8/9/2010,2010,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Real Estate Investment and Services,Quoc Cuong Gia Lai,Active
QUOC TE HOLDING JSC,VT:LMH,LMH.HNO,10/12/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Chemicals,Quoc TE Holding JSC,Active
QUY NHON NEW PORT,VT:QSP,QSP.HNO,3/23/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Transportation,QUY Nhon New Port,Active
RAILWAY CONSTRUCTION CORPORATION,VT:RCC,RCC.HNO,12/2/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Railway Construction Corporation,Active
RAILWAY TRANSPORT AND TRADE,VT:RAT,RAT.HNO,8/15/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Transportation,Railway Transport and Trade,Active
RANG DONG HOLDING,VT:RDP,RDP.HM,9/22/2009,2009,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,-,Rang Dong Holding,Active
RANG DONG LIGHT SOURCE AND VACUUM FLASK,VT:RAL,RAL.HM,4/2/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,-,Rang Dong Light Source and Vacuum Flask,Active
REAL ESTATE 11,VT:D11,D11.HN,2/25/2011,2011,Equities,Hanoi,Vietnam,Vietnamese Dong,Construction and Materials,Real Estate 11,Active
REAL TECH GROUP JSC,VT:KSF,KSF.HN,10/6/2021,2021,Equities,Hanoi,Vietnam,Vietnamese Dong,Real Estate Investment and Services,Real Technology Group JSC,Active
REDSTARCERA,VT:TRT,TRT.HNO,4/26/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Household Goods and Home Construction,Redstarcera,Active
REFRIG.ELECT.ENGR.CORP.,VT:REE,REE.HM,5/8/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,-,Refrigeration Electrical Engineering Corporation,Active
RIVERWAY MANAGEMENT NO3,VT:DS3,DS3.HN,8/21/2017,2017,Equities,Hanoi,Vietnam,Vietnamese Dong,Construction and Materials,Riverway Management NO3,Active
ROYAL INTL.CORPORATION,VT:RIC,RIC.HNO,7/31/2007,2007,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Travel and Leisure,Royal International Corporation,Active
RUBBER INDUSTRY AND IMPORT EXPORT,VT:RBC,RBC.HNO,5/20/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,General Industrials,Rubber Industry and Import Export,Active
RUBBER REAL ESTATE CON.,VT:RCD,RCD.HNO,2/6/2015,2015,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Rubber Real Estate Construction,Active
S P M,VT:SPM,SPM.HM,5/21/2010,2010,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Food Producers,Save Prosper M,Active
SA GIANG IMPORT,VT:SGC,SGC.HN,3/2/2009,2009,Equities,Hanoi,Vietnam,Vietnamese Dong,Food Producers,SA Giang Import,Active
SACOMBANK SECURITIES,VT:SBS,SBS.HNO,4/28/2014,2014,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Financial Services (Sector),Sacombank Securities,Active
SAFOCO FOODSTUFF,VT:SAF,SAF.HN,4/2/2007,2007,Equities,Hanoi,Vietnam,Vietnamese Dong,Food Producers,Safoco Foodstuff,Active
SAI GON - DONG XUAN BEER,VT:BSD,BSD.HNO,4/28/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Beverages,Sai GON - Dong Xuan Beer,Active
SAI GON - HANOI,VT:SHB,SHB.HM,4/20/2009,2009,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Banks,Sai GON - Hanoi,Active
SAI GON - MIEN TRUNG BEER,VT:SMB,SMB.HM,9/8/2010,2010,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Beverages,Sai GON - Mien Trung Beer,Active
SAI GON - QUY NH,VT:SQC,SQC.HNO,12/17/2009,2009,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Mining,Sai GON - QUY NH,Active
SAI GON OP INVESTMENT DEVELOPMENT,VT:SID,SID.HNO,1/9/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Real Estate Investment and Services,Sai GON OP Investment Development,Active
SAI GON PASSENGER TRANSPORT,VT:BSG,BSG.HNO,11/21/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Transportation,Sai GON Passenger Transport,Active
SAI GON PETROLEU,VT:PSG,PSG.HNO,3/15/2011,2011,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Sai GON Petroleu,Active
SAI GON PHU THO BEER,VT:BSP,BSP.HNO,8/12/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Beverages,Sai GON Phu THO Beer,Active
SAI GON PLASTIC,VT:NSG,NSG.HNO,5/19/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,-,Sai GON Plastic,Active
SAI GON PORT LOGISTICS AND SERVICES,VT:SAC,SAC.HNO,11/8/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Transportation,Sai GON Port Logistics and Services,Active
SAI GON QUANG NGAI BEER,VT:BSQ,BSQ.HNO,2/28/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Beverages,Sai GON Quang Ngai Beer,Active
SAI GON RAILWAY TRANSPORT,VT:SRT,SRT.HNO,11/25/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Transportation,Sai GON Railway Transport,Active
SAI GON RY.OF TELECM.- SIGNALIZATION,VT:TSG,TSG.HNO,4/5/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Transportation,Sai GON Railway of Telecommunication- Signalization,Active
SAI GON TELECM.& TECHS.,VT:SGT,SGT.HM,1/18/2008,2008,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Fixed Line Telecommunications,Sai GON Telecommunication and Technologies,Active
SAI GON THUONG TIN REAL ESTATE,VT:SCR,SCR.HM,11/9/2010,2010,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Real Estate Investment and Services,Sai GON Thuong Tin Real Estate,Active
SAI GON TRAFFIC CONSTRUCTION,VT:GTS,GTS.HNO,10/21/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Sai GON Traffic Construction,Active
SAI GON TRAIN,VT:SHX,SHX.HNO,10/11/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Tobacco,Sai GON Train,Active
SAI GON VEGETABLE OIL,VT:SGO,SGO.HNO,12/16/2015,2015,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Food Producers,Sai GON Vegetable Oil,Active
SAI GON VINA LAND,VT:LSG,LSG.HNO,5/12/2022,2022,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Unclassified,Sai GON Vina Land,Active
SAI GON WATER INFRASTRUCTURE,VT:SII,SII.HNO,9/12/2012,2012,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Real Estate Investment and Services,Sai GON Water Infrastructure,Active
SAI GON-NGHE TINH BEER,VT:SB1,SB1.HNO,12/26/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Beverages,Sai GON-Nghe Tinh Beer,Active
SAI SON CEMENT,VT:SCJ,SCJ.HNO,9/19/2007,2007,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Sai Son Cement,Active
SAIGON - HA NOI BEER CORPORATION,VT:BSH,BSH.HNO,7/4/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Beverages,Saigon - Ha Noi Beer Corporation,Active
SAIGON AQUATIC,VT:APT,APT.HNO,6/21/2019,2019,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Food Producers,Saigon Aquatic,Active
SAIGON BACLIEU BEER,VT:SBL,SBL.HNO,1/23/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Beverages,Saigon Baclieu Beer,Active
SAIGON BANK,VT:SGB,SGB.HNO,10/15/2020,2020,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Banks,Saigon Bank,Active
SAIGON BEER WEST,VT:WSB,WSB.HNO,8/16/2010,2010,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Beverages,Saigon Beer West,Active
SAIGON BEER- ALCOHOL- BEVERAGE,VT:SAB,SAB.HM,12/6/2016,2016,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Beverages,Saigon Beer- Alcohol- Beverage,Active
